Baltimore Ravens,Joe Flacco,QB,1
Baltimore Ravens,Ryan Mallett,QB,2
Baltimore Ravens,Terrance West,RB,1
Baltimore Ravens,Buck Allen,RB,2
Baltimore Ravens,Kenneth Dixon,RB,3
Baltimore Ravens,Lorenzo Taliaferro,RB,4
Baltimore Ravens,Terrance West,GLB,1
Baltimore Ravens,Buck Allen,GLB,2
Baltimore Ravens,Buck Allen,3RB,1
Baltimore Ravens,Terrance West,3RB,2
Baltimore Ravens,Kyle Juszczyk,FB,1
Baltimore Ravens,Steve Smith Sr.,WR1,1
Baltimore Ravens,Kamar Aiken,WR1,2
Baltimore Ravens,Devin Hester,WR1,3
Baltimore Ravens,Daniel Brown,WR1,4
Baltimore Ravens,Mike Wallace,WR2,1
Baltimore Ravens,Chris Moore,WR2,2
Baltimore Ravens,Breshad Perriman,WR2,3
Baltimore Ravens,Kamar Aiken,WR3,1
Baltimore Ravens,Dennis Pitta,TE,1
Baltimore Ravens,Crockett Gillmore,TE,2
Baltimore Ravens,Darren Waller,TE,3
Baltimore Ravens,Ronnie Stanley,LT,1
Baltimore Ravens,James Hurst,LT,2
Baltimore Ravens,Alex Lewis,LG,1
Baltimore Ravens,John Urschel,LG,2
Baltimore Ravens,Jeremy Zuttah,C,1
Baltimore Ravens,Ryan Jensen,C,2
Baltimore Ravens,Marshal Yanda,RG,1
Baltimore Ravens,Vlad Ducasse,RG,2
Baltimore Ravens,Rick Wagner,RT,1
Baltimore Ravens,Justin Tucker,K,1
Cincinnati Bengals,Andy Dalton,QB,1
Cincinnati Bengals,A.J. McCarron,QB,2
Cincinnati Bengals,Jeff Driskel,QB,3
Cincinnati Bengals,Jeremy Hill,RB,1
Cincinnati Bengals,Giovani Bernard,RB,2
Cincinnati Bengals,Rex Burkhead,RB,3
Cincinnati Bengals,Jeremy Hill,GLB,1
Cincinnati Bengals,Giovani Bernard,GLB,2
Cincinnati Bengals,Giovani Bernard,3RB,1
Cincinnati Bengals,Jeremy Hill,3RB,2
Cincinnati Bengals,Ryan Hewitt,FB,1
Cincinnati Bengals,A.J. Green,WR1,1
Cincinnati Bengals,Alex Erickson,WR1,2
Cincinnati Bengals,Cody Core,WR1,3
Cincinnati Bengals,Brandon LaFell,WR2,1
Cincinnati Bengals,Tyler Boyd,WR2,2
Cincinnati Bengals,James Wright,WR2,3
Cincinnati Bengals,Tyler Boyd,WR3,1
Cincinnati Bengals,Tyler Eifert,TE,1
Cincinnati Bengals,Tyler Kroft,TE,2
Cincinnati Bengals,C.J. Uzomah,TE,3
Cincinnati Bengals,Andrew Whitworth,LT,1
Cincinnati Bengals,Jake Fisher,LT,2
Cincinnati Bengals,Clint Boling,LG,1
Cincinnati Bengals,Russell Bodine,C,1
Cincinnati Bengals,T.J. Johnson,C,2
Cincinnati Bengals,Kevin Zeitler,RG,1
Cincinnati Bengals,Christian Westerman,RG,2
Cincinnati Bengals,Cedric Ogbuehi,RT,1
Cincinnati Bengals,Eric Winston,RT,2
Cincinnati Bengals,Mike Nugent,K,1
Cleveland Browns,Josh McCown,QB,1
Cleveland Browns,Cody Kessler,QB,2
Cleveland Browns,Isaiah Crowell,RB,1
Cleveland Browns,Duke Johnson,RB,2
Cleveland Browns,George Atkinson III,RB,3
Cleveland Browns,Isaiah Crowell,GLB,1
Cleveland Browns,Duke Johnson,GLB,2
Cleveland Browns,Duke Johnson,3RB,1
Cleveland Browns,Isaiah Crowell,3RB,2
Cleveland Browns,Malcolm Johnson,FB,1
Cleveland Browns,Corey Coleman,WR1,1
Cleveland Browns,Andrew Hawkins,WR1,2
Cleveland Browns,Ricardo Louis,WR1,3
Cleveland Browns,Terrelle Pryor,WR2,1
Cleveland Browns,Rashard Higgins,WR2,2
Cleveland Browns,Jordan Payton,WR2,3
Cleveland Browns,Andrew Hawkins,WR3,1
Cleveland Browns,Gary Barnidge,TE,1
Cleveland Browns,Randall Telfer,TE,2
Cleveland Browns,Seth DeValve,TE,3
Cleveland Browns,Connor Hamlett,TE,4
Cleveland Browns,Joe Thomas,LT,1
Cleveland Browns,Spencer Drango,LT,2
Cleveland Browns,Joel Bitonio,LG,1
Cleveland Browns,John Greco,C,1
Cleveland Browns,Cameron Erving,C,2
Cleveland Browns,Alvin Bailey,RG,1
Cleveland Browns,Jonathan Cooper,RG,2
Cleveland Browns,Austin Pasztor,RT,1
Cleveland Browns,Shon Coleman,RT,2
Cleveland Browns,Cody Parkey,K,1
Pittsburgh Steelers,Ben Roethlisberger,QB,1
Pittsburgh Steelers,Landry Jones,QB,2
Pittsburgh Steelers,Zach Mettenberger,QB,3
Pittsburgh Steelers,Le'Veon Bell,RB,1
Pittsburgh Steelers,DeAngelo Williams,RB,2
Pittsburgh Steelers,Fitzgerald Toussaint,RB,3
Pittsburgh Steelers,Karlos Williams,RB,5
Pittsburgh Steelers,Le'Veon Bell,GLB,1
Pittsburgh Steelers,DeAngelo Williams,GLB,2
Pittsburgh Steelers,Le'Veon Bell,3RB,1
Pittsburgh Steelers,DeAngelo Williams,3RB,2
Pittsburgh Steelers,Roosevelt Nix,FB,1
Pittsburgh Steelers,Antonio Brown,WR1,1
Pittsburgh Steelers,Darrius Heyward-Bey,WR1,2
Pittsburgh Steelers,Eli Rogers,WR1,3
Pittsburgh Steelers,Markus Wheaton,WR2,1
Pittsburgh Steelers,Sammie Coates,WR2,2
Pittsburgh Steelers,Cobi Hamilton,WR2,5
Pittsburgh Steelers,Sammie Coates,WR3,1
Pittsburgh Steelers,Jesse James,TE,1
Pittsburgh Steelers,David Johnson,TE,2
Pittsburgh Steelers,Xavier Grimble,TE,3
Pittsburgh Steelers,Ladarius Green,TE,4
Pittsburgh Steelers,Ali Villanueva,LT,1
Pittsburgh Steelers,Ryan Harris,LT,2
Pittsburgh Steelers,Ramon Foster,LG,1
Pittsburgh Steelers,Chris Hubbard,LG,2
Pittsburgh Steelers,Maurkice Pouncey,C,1
Pittsburgh Steelers,Cody Wallace,C,2
Pittsburgh Steelers,David DeCastro,RG,1
Pittsburgh Steelers,B.J. Finney,RG,2
Pittsburgh Steelers,Marcus Gilbert,RT,1
Pittsburgh Steelers,Brian Mihalik,RT,2
Pittsburgh Steelers,Chris Boswell,K,1
Houston Texans,Brock Osweiler,QB,1
Houston Texans,Tom Savage,QB,2
Houston Texans,Brandon Weeden,QB,3
Houston Texans,Lamar Miller,RB,1
Houston Texans,Alfred Blue,RB,2
Houston Texans,Tyler Ervin,RB,3
Houston Texans,Jonathan Grimes,RB,4
Houston Texans,Lamar Miller,GLB,1
Houston Texans,Alfred Blue,GLB,2
Houston Texans,Lamar Miller,3RB,1
Houston Texans,Tyler Ervin,3RB,2
Houston Texans,Jay Prosch,FB,1
Houston Texans,DeAndre Hopkins,WR1,1
Houston Texans,Braxton Miller,WR1,2
Houston Texans,Keith Mumphery,WR1,3
Houston Texans,Will Fuller,WR2,1
Houston Texans,Jaelen Strong,WR2,2
Houston Texans,Braxton Miller,WR3,1
Houston Texans,Ryan Griffin,TE,1
Houston Texans,C.J. Fiedorowicz,TE,2
Houston Texans,Stephen Anderson,TE,3
Houston Texans,Duane Brown,LT,1
Houston Texans,Chris Clark,LT,2
Houston Texans,Xavier Su'a-Filo,LG,1
Houston Texans,Greg Mancz,C,1
Houston Texans,Tony Bergstrom,C,2
Houston Texans,Jeff Allen,RG,1
Houston Texans,Oday Aboushi,RG,2
Houston Texans,Derek Newton,RT,1
Houston Texans,Kendall Lamm,RT,2
Houston Texans,Nick Novak,K,1
Indianapolis Colts,Andrew Luck,QB,1
Indianapolis Colts,Scott Tolzien,QB,2
Indianapolis Colts,Frank Gore,RB,1
Indianapolis Colts,Robert Turbin,RB,2
Indianapolis Colts,Josh Ferguson,RB,3
Indianapolis Colts,Jordan Todman,RB,4
Indianapolis Colts,Frank Gore,GLB,1
Indianapolis Colts,Robert Turbin,GLB,2
Indianapolis Colts,Frank Gore,3RB,1
Indianapolis Colts,Robert Turbin,3RB,2
Indianapolis Colts,T.Y. Hilton,WR1,1
Indianapolis Colts,Phillip Dorsett,WR1,2
Indianapolis Colts,Chester Rogers,WR1,3
Indianapolis Colts,Donte Moncrief,WR2,1
Indianapolis Colts,Quan Bray,WR2,2
Indianapolis Colts,Devin Street,WR2,3
Indianapolis Colts,Phillip Dorsett,WR3,1
Indianapolis Colts,Dwayne Allen,TE,1
Indianapolis Colts,Jack Doyle,TE,2
Indianapolis Colts,Erik Swoope,TE,3
Indianapolis Colts,Chase Coffman,TE,4
Indianapolis Colts,Anthony Castonzo,LT,1
Indianapolis Colts,Jack Mewhort,LG,1
Indianapolis Colts,Jonotthan Harrison,LG,2
Indianapolis Colts,Ryan Kelly,C,1
Indianapolis Colts,Austin Blythe,C,2
Indianapolis Colts,Denzelle Good,RG,1
Indianapolis Colts,Joe Haeg,RG,2
Indianapolis Colts,Joe Reitz,RT,1
Indianapolis Colts,Le'Raven Clark,RT,2
Indianapolis Colts,Adam Vinatieri,K,1
Jacksonville Jaguars,Blake Bortles,QB,1
Jacksonville Jaguars,Chad Henne,QB,2
Jacksonville Jaguars,Brandon Allen,QB,3
Jacksonville Jaguars,T.J. Yeldon,RB,1
Jacksonville Jaguars,Chris Ivory,RB,2
Jacksonville Jaguars,Denard Robinson,RB,3
Jacksonville Jaguars,Corey Grant,RB,4
Jacksonville Jaguars,Chris Ivory,GLB,1
Jacksonville Jaguars,T.J. Yeldon,GLB,2
Jacksonville Jaguars,T.J. Yeldon,3RB,1
Jacksonville Jaguars,Chris Ivory,3RB,2
Jacksonville Jaguars,Allen Robinson,WR1,1
Jacksonville Jaguars,Marqise Lee,WR1,2
Jacksonville Jaguars,Arrelious Benn,WR1,3
Jacksonville Jaguars,Allen Hurns,WR2,1
Jacksonville Jaguars,Rashad Greene,WR2,2
Jacksonville Jaguars,Marqise Lee,WR3,1
Jacksonville Jaguars,Julius Thomas,TE,1
Jacksonville Jaguars,Marcedes Lewis,TE,2
Jacksonville Jaguars,Ben Koyack,TE,3
Jacksonville Jaguars,Neal Sterling,TE,4
Jacksonville Jaguars,Kelvin Beachum,LT,1
Jacksonville Jaguars,Chris Reed,LG,1
Jacksonville Jaguars,Luke Joeckel,LG,2
Jacksonville Jaguars,Brandon Linder,C,1
Jacksonville Jaguars,Tyler Shatley,C,2
Jacksonville Jaguars,A.J. Cann,RG,1
Jacksonville Jaguars,Patrick Omameh,RG,2
Jacksonville Jaguars,Jermey Parnell,RT,1
Jacksonville Jaguars,Bryce Harris,RT,2
Jacksonville Jaguars,Jason Myers,K,1
Tennessee Titans,Marcus Mariota,QB,1
Tennessee Titans,Matt Cassel,QB,2
Tennessee Titans,Alex Tanney,QB,3
Tennessee Titans,DeMarco Murray,RB,1
Tennessee Titans,Derrick Henry,RB,2
Tennessee Titans,Antonio Andrews,RB,3
Tennessee Titans,DeMarco Murray,GLB,1
Tennessee Titans,Derrick Henry,GLB,2
Tennessee Titans,DeMarco Murray,3RB,1
Tennessee Titans,Derrick Henry,3RB,2
Tennessee Titans,Jalston Fowler,FB,1
Tennessee Titans,Tajae Sharpe,WR1,1
Tennessee Titans,Andre Johnson,WR1,2
Tennessee Titans,Marc Mariani,WR1,3
Tennessee Titans,Rishard Matthews,WR2,1
Tennessee Titans,Kendall Wright,WR2,2
Tennessee Titans,Harry Douglas,WR2,3
Tennessee Titans,Andre Johnson,WR3,1
Tennessee Titans,Delanie Walker,TE,1
Tennessee Titans,Anthony Fasano,TE,2
Tennessee Titans,Phillip Supernaw,TE,3
Tennessee Titans,Jace Amaro,TE,4
Tennessee Titans,Taylor Lewan,LT,1
Tennessee Titans,Dennis Kelly,LT,2
Tennessee Titans,Quinton Spain,LG,1
Tennessee Titans,Josh Kline,LG,2
Tennessee Titans,Ben Jones,C,1
Tennessee Titans,Brian Schwenke,C,2
Tennessee Titans,Chance Warmack,RG,1
Tennessee Titans,Sebastian Tretola,RG,2
Tennessee Titans,Jack Conklin,RT,1
Tennessee Titans,Ryan Succop,K,1
Denver Broncos,Trevor Siemian,QB,1
Denver Broncos,Paxton Lynch,QB,2
Denver Broncos,Austin Davis,QB,3
Denver Broncos,C.J. Anderson,RB,1
Denver Broncos,Devontae Booker,RB,2
Denver Broncos,Kapri Bibbs,RB,3
Denver Broncos,C.J. Anderson,GLB,1
Denver Broncos,Devontae Booker,GLB,2
Denver Broncos,C.J. Anderson,3RB,1
Denver Broncos,Devontae Booker,3RB,2
Denver Broncos,Andy Janovich,FB,1
Denver Broncos,Demaryius Thomas,WR1,1
Denver Broncos,Bennie Fowler,WR1,2
Denver Broncos,Cody Latimer,WR1,3
Denver Broncos,Emmanuel Sanders,WR2,1
Denver Broncos,Jordan Norwood,WR2,2
Denver Broncos,Jordan Taylor,WR2,3
Denver Broncos,Bennie Fowler,WR3,1
Denver Broncos,Virgil Green,TE,1
Denver Broncos,Jeff Heuerman,TE,2
Denver Broncos,John Phillips,TE,3
Denver Broncos,Russell Okung,LT,1
Denver Broncos,Ty Sambrailo,LT,2
Denver Broncos,Max Garcia,LG,1
Denver Broncos,Connor McGovern,LG,2
Denver Broncos,Matt Paradis,C,1
Denver Broncos,James Ferentz,C,2
Denver Broncos,Sam Brenner,C,3
Denver Broncos,Michael Schofield,RG,1
Denver Broncos,Billy Turner,RG,2
Denver Broncos,Donald Stephenson,RT,1
